지역,노선,시·종점,월,일시,시간,승차,하차,전체,주중 평균배차시간,노선운행시간,시간별 포화도
안산시, 50,안산해솔초등학교-KTX광명역1번출구,4,평일,18시~19시,88,90,178,60.0,65,102.0
광명시, 1(광명),거모동-개봉역,4,평일,16시~17시,1036,906,1942,8.5,108,102.0
시흥시, 25,오이도차고지-정왕역환승센터,4,평일,07시~08시,98,76,174,50.0,32,102.0
광명시, 2(광명),스타필드시티부천-안양역,4,평일,17시~18시,920,896,1816,8.0,90,102.0
부천시, 23-2,소사공영차고지-라일락마을어린이공원,4,평일,16시~17시,653,625,1278,8.5,69,101.0
안산시, 98,오이도차고지-수변공원휴게소,4,평일,08시~09시,306,375,681,27.5,104,101.0
시흥시, 23,월곶역-본오동차고지,4,평일,15시~16시,637,641,1278,12.5,99,101.0
안산시, 20,경원여객-시흥시청후문.종합일자리센터,4,평일,08시~09시,69,70,139,70.0,40,101.0
안양시, 81,목감호수품애.중흥S클래스-안양역,4,평일,08시~09시,368,451,819,13.0,39,100.0
안산시, 55,본오동종점-오이도차고지,4,평일,18시~19시,824,822,1646,9.0,93,100.0
시흥시, 32,경원여객안양차고지-풍림2단지.소래포구입구,4,평일,18시~19시,275,309,584,25.0,86,100.0
시흥시, 20-1,정왕역환승센터-부곡중학교,4,평일,16시~17시,414,375,789,15.0,78,100.0
안양시, 81,목감호수품애.중흥S클래스-안양역,4,평일,18시~19시,364,337,701,13.0,39,99.0
시흥시, 12,삼미시장-김포공항국내선(9번홈),4,평일,19시~20시,355,429,784,15.0,67,99.0
시흥시, 23,월곶역-본오동차고지,4,평일,09시~10시,624,666,1290,12.5,99,98.0
안산시, 62,본오동종점-한라비발디1차,4,평일,19시~20시,1058,"1,179",2237,8.0,108,98.0
안산시, 98,오이도차고지-수변공원휴게소,4,평일,18시~19시,295,339,634,27.5,104,98.0
시흥시, 21,오이도차고지-태영아파트,4,평일,07시~08시,337,287,624,25.0,107,98.0
광명시, 11-3,마린월드-KTX광명역1번출구,4,평일,08시~09시,132,181,313,37.5,63,98.0
안산시, 76,본오교회앞-동보아파트후문.군자교회,4,평일,08시~09시,74,89,163,90.0,86,97.0
안산시, 50,안산해솔초등학교-KTX광명역1번출구,4,평일,16시~17시,84,74,158,60.0,65,97.0
안산시, 61,화진금속공업-부천터미널소풍,4,평일,17시~18시,927,801,1728,10.0,120,97.0
시흥시, 32,경원여객안양차고지-풍림2단지.소래포구입구,4,평일,07시~08시,266,168,434,25.0,86,97.0
부천시, 66,부인초교-용못내공원.옥길동종점,4,평일,07시~08시,476,390,866,12.0,74,96.0
안산시, 98,오이도차고지-수변공원휴게소,4,평일,06시~07시,290,204,494,27.5,104,96.0
안양시, 81,목감호수품애.중흥S클래스-안양역,4,평일,17시~18시,350,342,692,13.0,39,95.0
시흥시, 21,오이도차고지-태영아파트,4,평일,08시~09시,326,343,669,25.0,107,95.0
부천시, 23-2,소사공영차고지-라일락마을어린이공원,4,평일,17시~18시,619,547,1166,8.5,69,95.0
광명시, 11,광명돔경륜장.광남문-안양역,4,평일,18시~19시,151,161,312,32.5,65,94.0
