지역,노선,시·종점,월,일시,시간,승차,하차,전체,주중 평균배차시간,노선운행시간,시간별 포화도
안산시, 125,홈플러스-본오교회앞,2,평일,18시~19시,854,734,1588,17.5,97,193.0
안산시, 125,홈플러스-본오교회앞,2,평일,15시~16시,822,831,1653,17.5,97,185.0
안산시, 125,홈플러스-본오교회앞,2,평일,16시~17시,800,720,1520,17.5,97,180.0
안산시, 125,홈플러스-본오교회앞,2,평일,14시~15시,759,705,1464,17.5,97,171.0
안산시, 125,홈플러스-본오교회앞,2,평일,17시~18시,745,788,1533,17.5,97,168.0
안산시, 125,홈플러스-본오교회앞,2,평일,08시~09시,729,757,1486,17.5,97,164.0
시흥시, 20-1,정왕역환승센터-부곡중학교,2,평일,07시~08시,681,659,1340,15.0,78,164.0
안산시, 125,홈플러스-본오교회앞,2,평일,21시~22시,720,742,1462,17.5,97,162.0
안산시, 125,홈플러스-본오교회앞,2,평일,13시~14시,677,667,1344,17.5,97,153.0
안산시, 125,홈플러스-본오교회앞,2,평일,12시~13시,668,632,1300,17.5,97,151.0
안산시, 125,홈플러스-본오교회앞,2,평일,19시~20시,658,832,1490,17.5,97,148.0
안산시, 125,홈플러스-본오교회앞,2,평일,07시~08시,643,611,1254,17.5,97,145.0
시흥시, 23,월곶역-본오동차고지,2,평일,18시~19시,906,924,1830,12.5,99,143.0
시흥시, 12,삼미시장-김포공항국내선(9번홈),2,평일,07시~08시,500,412,912,15.0,67,140.0
광명시, 39,매화초등학교-개봉역,2,평일,07시~08시,322,245,567,20.5,45,138.0
시흥시, 23,월곶역-본오동차고지,2,평일,15시~16시,849,827,1676,12.5,99,134.0
시흥시, 23,월곶역-본오동차고지,2,평일,16시~17시,830,842,1672,12.5,99,131.0
안산시, 125,홈플러스-본오교회앞,2,평일,20시~21시,570,547,1117,17.5,97,129.0
시흥시, 23,월곶역-본오동차고지,2,평일,17시~18시,807,796,1603,12.5,99,127.0
부천시, 66,부인초교-용못내공원.옥길동종점,2,평일,18시~19시,621,627,1248,12.0,74,126.0
시흥시, 12,삼미시장-김포공항국내선(9번홈),2,평일,17시~18시,447,346,793,15.0,67,125.0
안산시, 125,홈플러스-본오교회앞,2,평일,11시~12시,547,549,1096,17.5,97,123.0
안산시, 22,자원재생공사-삼천리마을앞,2,평일,18시~19시,541,532,1073,17.5,97,122.0
시흥시, 20-1,정왕역환승센터-부곡중학교,2,평일,17시~18시,505,519,1024,15.0,78,121.0
시흥시, 23,월곶역-본오동차고지,2,평일,12시~13시,751,670,1421,12.5,99,119.0
시흥시, 23,월곶역-본오동차고지,2,평일,14시~15시,756,679,1435,12.5,99,119.0
시흥시, 23,월곶역-본오동차고지,2,평일,07시~08시,743,644,1387,12.5,99,117.0
안산시, 125,홈플러스-본오교회앞,2,평일,09시~10시,513,518,1031,17.5,97,115.99999999999999
안산시, 125,홈플러스-본오교회앞,2,평일,06시~07시,516,458,974,17.5,97,115.99999999999999
안산시, 62,본오동종점-한라비발디1차,2,평일,17시~18시,1249,"1,201",2450,8.0,108,115.99999999999999
시흥시, 12,삼미시장-김포공항국내선(9번홈),2,평일,08시~09시,412,502,914,15.0,67,114.99999999999999
안산시, 125,홈플러스-본오교회앞,2,평일,10시~11시,502,472,974,17.5,97,112.99999999999999
시흥시, 20-1,정왕역환승센터-부곡중학교,2,평일,16시~17시,466,427,893,15.0,78,112.00000000000001
안산시, 22,자원재생공사-삼천리마을앞,2,평일,17시~18시,494,463,957,17.5,97,111.00000000000001
안산시, 22,자원재생공사-삼천리마을앞,2,평일,08시~09시,488,588,1076,17.5,97,110.00000000000001
시흥시, 23,월곶역-본오동차고지,2,평일,13시~14시,687,721,1408,12.5,99,108.0
시흥시, 23,월곶역-본오동차고지,2,평일,08시~09시,680,753,1433,12.5,99,107.0
안산시, 62,본오동종점-한라비발디1차,2,평일,18시~19시,1159,"1,201",2360,8.0,108,107.0
시흥시, 20-1,정왕역환승센터-부곡중학교,2,평일,06시~07시,442,266,708,15.0,78,106.0
광명시, 1(광명),거모동-개봉역,2,평일,07시~08시,1073,951,2024,8.5,108,106.0
광명시, 39,매화초등학교-개봉역,2,평일,08시~09시,244,333,577,20.5,45,104.0
시흥시, 20-1,정왕역환승센터-부곡중학교,2,평일,08시~09시,429,579,1008,15.0,78,103.0
광명시, 1(광명),거모동-개봉역,2,평일,18시~19시,1049,"1,070",2119,8.5,108,103.0
부천시, 66,부인초교-용못내공원.옥길동종점,2,평일,17시~18시,507,504,1011,12.0,74,103.0
시흥시, 5602,이마트-구로디지털단지역환승센터(1번승강장),2,평일,07시~08시,650,429,1079,11.5,92,102.0
시흥시, 23,월곶역-본오동차고지,2,평일,19시~20시,646,680,1326,12.5,99,102.0
광명시, 2(광명),스타필드시티부천-안양역,2,평일,08시~09시,907,928,1835,8.0,90,101.0
안산시, 22,자원재생공사-삼천리마을앞,2,평일,07시~08시,448,371,819,17.5,97,101.0
안산시, 62,본오동종점-한라비발디1차,2,평일,16시~17시,1091,"1,055",2146,8.0,108,101.0
광명시, 1(광명),거모동-개봉역,2,평일,17시~18시,1015,"1,010",2025,8.5,108,100.0
광명시, 1(광명),거모동-개봉역,2,평일,16시~17시,1013,943,1956,8.5,108,100.0
안산시, 22,자원재생공사-삼천리마을앞,2,평일,15시~16시,442,437,879,17.5,97,100.0
시흥시, 12,삼미시장-김포공항국내선(9번홈),2,평일,18시~19시,359,433,792,15.0,67,100.0
시흥시, 23,월곶역-본오동차고지,2,평일,11시~12시,626,658,1284,12.5,99,99.0
광명시, 2(광명),스타필드시티부천-안양역,2,평일,07시~08시,893,741,1634,8.0,90,99.0
광명시, 2(광명),스타필드시티부천-안양역,2,평일,15시~16시,894,829,1723,8.0,90,99.0
광명시, 2(광명),스타필드시티부천-안양역,2,평일,17시~18시,875,842,1717,8.0,90,97.0
광명시, 1(광명),거모동-개봉역,2,평일,08시~09시,984,"1,110",2094,8.5,108,97.0
부천시, 66,부인초교-용못내공원.옥길동종점,2,평일,16시~17시,481,455,936,12.0,74,97.0
시흥시, 20-1,정왕역환승센터-부곡중학교,2,평일,15시~16시,400,329,729,15.0,78,96.0
안산시, 62,본오동종점-한라비발디1차,2,평일,08시~09시,1032,"1,047",2079,8.0,108,96.0
시흥시, 5602,이마트-구로디지털단지역환승센터(1번승강장),2,평일,18시~19시,612,652,1264,11.5,92,96.0
안산시, 62,본오동종점-한라비발디1차,2,평일,15시~16시,1022,972,1994,8.0,108,95.0
안산시, 22,자원재생공사-삼천리마을앞,2,평일,16시~17시,420,406,826,17.5,97,95.0
광명시, 2(광명),스타필드시티부천-안양역,2,평일,16시~17시,855,915,1770,8.0,90,95.0
시흥시, 23,월곶역-본오동차고지,2,평일,09시~10시,596,551,1147,12.5,99,94.0
안산시, 76,본오교회앞-동보아파트후문.군자교회,2,평일,09시~10시,71,67,138,90.0,86,93.0
광명시, 2(광명),스타필드시티부천-안양역,2,평일,14시~15시,837,824,1661,8.0,90,93.0
부천시, 66,부인초교-용못내공원.옥길동종점,2,평일,08시~09시,457,433,890,12.0,74,93.0
광명시, 11,광명돔경륜장.광남문-안양역,2,평일,08시~09시,148,179,327,32.5,65,93.0
시흥시, 23,월곶역-본오동차고지,2,평일,10시~11시,587,542,1129,12.5,99,93.0
광명시, 11,광명돔경륜장.광남문-안양역,2,평일,16시~17시,149,157,306,32.5,65,93.0
부천시, 23-2,계수동종점-라일락마을어린이공원,2,평일,17시~18시,606,606,1212,8.5,69,93.0
안산시, 22,자원재생공사-삼천리마을앞,2,평일,13시~14시,406,403,809,17.5,97,92.0
안산시, 22,자원재생공사-삼천리마을앞,2,평일,14시~15시,409,391,800,17.5,97,92.0
부천시, 66,부인초교-용못내공원.옥길동종점,2,평일,14시~15시,450,437,887,12.0,74,91.0
안양시, 81,목감호수품애.중흥S클래스-안양역,2,평일,18시~19시,335,369,704,13.0,39,91.0
부천시, 23-2,계수동종점-라일락마을어린이공원,2,평일,18시~19시,589,605,1194,8.5,69,91.0
안산시, 98,오이도차고지-수변공원휴게소,2,평일,08시~09시,275,351,626,27.5,104,91.0
안산시, 62,본오동종점-한라비발디1차,2,평일,13시~14시,970,967,1937,8.0,108,90.0
안양시, 81,목감호수품애.중흥S클래스-안양역,2,평일,16시~17시,333,343,676,13.0,39,90.0
부천시, 23-2,계수동종점-라일락마을어린이공원,2,평일,08시~09시,580,563,1143,8.5,69,89.0
광명시, 11,광명돔경륜장.광남문-안양역,2,평일,07시~08시,143,98,241,32.5,65,89.0
시흥시, 20-1,정왕역환승센터-부곡중학교,2,평일,18시~19시,372,440,812,15.0,78,89.0
부천시, 66,부인초교-용못내공원.옥길동종점,2,평일,21시~22시,436,494,930,12.0,74,88.0
광명시, 2(광명),스타필드시티부천-안양역,2,평일,13시~14시,792,752,1544,8.0,90,88.0
부천시, 66,부인초교-용못내공원.옥길동종점,2,평일,15시~16시,431,410,841,12.0,74,87.0
안양시, 81,목감호수품애.중흥S클래스-안양역,2,평일,15시~16시,321,309,630,13.0,39,87.0
안양시, 81,목감호수품애.중흥S클래스-안양역,2,평일,17시~18시,321,273,594,13.0,39,87.0
안양시, 81,목감호수품애.중흥S클래스-안양역,2,평일,07시~08시,318,243,561,13.0,39,86.0
광명시, 1(광명),거모동-개봉역,2,평일,15시~16시,873,829,1702,8.5,108,86.0
안산시, 35,경원여객안양차고지-중앙역앞,2,평일,07시~08시,35,30,65,180.0,92,86.0
부천시, 23-2,계수동종점-라일락마을어린이공원,2,평일,15시~16시,557,509,1066,8.5,69,86.0
안산시, 76,본오교회앞-동보아파트후문.군자교회,2,평일,18시~19시,65,53,118,90.0,86,85.0
광명시, 39,매화초등학교-개봉역,2,평일,17시~18시,199,156,355,20.5,45,85.0
안산시, 61,화진금속공업-부천터미널소풍,2,평일,16시~17시,816,720,1536,10.0,120,85.0
