지역,노선,시·종점,월,일시,시간,승차,하차,전체,주중 평균배차시간,노선운행시간,시간별 포화도
시흥시, 23,월곶역-본오동차고지,3,평일,18시~19시,1217,"1,167",2384,12.5,99,192.0
시흥시, 20-1,정왕역환승센터-부곡중학교,3,평일,07시~08시,740,690,1430,15.0,78,178.0
안산시, 125,홈플러스-본오교회앞,3,평일,17시~18시,762,680,1442,17.5,97,172.0
시흥시, 20-1,정왕역환승센터-부곡중학교,3,평일,08시~09시,706,883,1589,15.0,78,170.0
시흥시, 23,월곶역-본오동차고지,3,평일,08시~09시,1068,"1,154",2222,12.5,99,169.0
안산시, 125,홈플러스-본오교회앞,3,평일,18시~19시,749,740,1489,17.5,97,169.0
안산시, 125,홈플러스-본오교회앞,3,평일,08시~09시,710,783,1493,17.5,97,160.0
시흥시, 20-1,정왕역환승센터-부곡중학교,3,평일,18시~19시,659,706,1365,15.0,78,158.0
시흥시, 12,삼미시장-김포공항국내선(9번홈),3,평일,07시~08시,564,437,1001,15.0,67,158.0
시흥시, 23,월곶역-본오동차고지,3,평일,17시~18시,997,910,1907,12.5,99,157.0
시흥시, 20-1,정왕역환승센터-부곡중학교,3,평일,17시~18시,652,544,1196,15.0,78,157.0
시흥시, 23,월곶역-본오동차고지,3,평일,07시~08시,960,815,1775,12.5,99,152.0
광명시, 1(광명),거모동-개봉역,3,평일,07시~08시,1537,"1,272",2809,8.5,108,151.0
시흥시, 12,삼미시장-김포공항국내선(9번홈),3,평일,08시~09시,538,647,1185,15.0,67,151.0
안산시, 62,본오동종점-한라비발디1차,3,평일,18시~19시,1601,"1,607",3208,8.0,108,148.0
광명시, 2(광명),스타필드시티부천-안양역,3,평일,08시~09시,1333,"1,521",2854,8.0,90,148.0
안산시, 62,본오동종점-한라비발디1차,3,평일,17시~18시,1584,"1,564",3148,8.0,108,147.0
부천시, 66,부인초교-용못내공원.옥길동종점,3,평일,18시~19시,725,722,1447,12.0,74,147.0
광명시, 39,매화초등학교-개봉역,3,평일,07시~08시,342,282,624,20.5,45,146.0
안산시, 125,홈플러스-본오교회앞,3,평일,07시~08시,638,513,1151,17.5,97,144.0
안산시, 62,본오동종점-한라비발디1차,3,평일,08시~09시,1550,"1,682",3232,8.0,108,144.0
광명시, 39,매화초등학교-개봉역,3,평일,08시~09시,333,379,712,20.5,45,142.0
안산시, 98,오이도차고지-수변공원휴게소,3,평일,08시~09시,409,496,905,27.5,104,135.0
시흥시, 12,삼미시장-김포공항국내선(9번홈),3,평일,18시~19시,482,490,972,15.0,67,135.0
부천시, 66,부인초교-용못내공원.옥길동종점,3,평일,08시~09시,663,693,1356,12.0,74,134.0
광명시, 1(광명),거모동-개봉역,3,평일,08시~09시,1359,"1,596",2955,8.5,108,134.0
시흥시, 5602,이마트-구로디지털단지역환승센터(1번승강장),3,평일,08시~09시,859,991,1850,11.5,92,134.0
안산시, 50,안산해솔초등학교-KTX광명역1번출구,3,평일,08시~09시,116,124,240,60.0,65,134.0
시흥시, 5602,이마트-구로디지털단지역환승센터(1번승강장),3,평일,07시~08시,829,613,1442,11.5,92,130.0
부천시, 23-2,계수동종점-라일락마을어린이공원,3,평일,08시~09시,846,891,1737,8.5,69,130.0
광명시, 11,광명돔경륜장.광남문-안양역,3,평일,07시~08시,207,167,374,32.5,65,129.0
광명시, 2(광명),스타필드시티부천-안양역,3,평일,18시~19시,1144,"1,153",2297,8.0,90,127.0
광명시, 2(광명),스타필드시티부천-안양역,3,평일,07시~08시,1146,891,2037,8.0,90,127.0
광명시, 39,매화초등학교-개봉역,3,평일,18시~19시,293,288,581,20.5,45,125.0
시흥시, 32,경원여객안양차고지-풍림2단지.소래포구입구,3,평일,08시~09시,338,386,724,25.0,86,123.0
시흥시, 5602,이마트-구로디지털단지역환승센터(1번승강장),3,평일,17시~18시,789,696,1485,11.5,92,123.0
안양시, 81,목감호수품애.중흥S클래스-안양역,3,평일,07시~08시,449,339,788,13.0,39,122.0
광명시, 11,광명돔경륜장.광남문-안양역,3,평일,08시~09시,195,207,402,32.5,65,122.0
광명시, 1(광명),거모동-개봉역,3,평일,17시~18시,1239,"1,058",2297,8.5,108,122.0
시흥시, 23,월곶역-본오동차고지,3,평일,16시~17시,766,772,1538,12.5,99,121.0
안양시, 81,목감호수품애.중흥S클래스-안양역,3,평일,08시~09시,444,504,948,13.0,39,120.0
광명시, 1(광명),거모동-개봉역,3,평일,18시~19시,1206,"1,271",2477,8.5,108,119.0
안산시, 62,본오동종점-한라비발디1차,3,평일,16시~17시,1287,"1,163",2450,8.0,108,119.0
안산시, 125,홈플러스-본오교회앞,3,평일,19시~20시,518,623,1141,17.5,97,117.0
시흥시, 21,오이도차고지-태영아파트,3,평일,07시~08시,395,326,721,25.0,107,114.99999999999999
부천시, 23-2,계수동종점-라일락마을어린이공원,3,평일,18시~19시,747,753,1500,8.5,69,114.99999999999999
부천시, 66,부인초교-용못내공원.옥길동종점,3,평일,16시~17시,568,566,1134,12.0,74,114.99999999999999
시흥시, 20-1,정왕역환승센터-부곡중학교,3,평일,06시~07시,476,259,735,15.0,78,113.99999999999999
부천시, 66,부인초교-용못내공원.옥길동종점,3,평일,17시~18시,561,529,1090,12.0,74,113.99999999999999
시흥시, 5602,이마트-구로디지털단지역환승센터(1번승강장),3,평일,18시~19시,728,719,1447,11.5,92,113.99999999999999
시흥시, 23,월곶역-본오동차고지,3,평일,19시~20시,708,844,1552,12.5,99,112.00000000000001
안산시, 61,화진금속공업-부천터미널소풍,3,평일,07시~08시,1077,899,1976,10.0,120,112.00000000000001
안산시, 50,안산해솔초등학교-KTX광명역1번출구,3,평일,18시~19시,96,84,180,60.0,65,111.00000000000001
안산시, 22,자원재생공사-삼천리마을앞,3,평일,17시~18시,487,418,905,17.5,97,110.00000000000001
안산시, 20,경원여객-시흥시청후문.종합일자리센터,3,평일,18시~19시,75,80,155,70.0,40,109.00000000000001
안산시, 22,자원재생공사-삼천리마을앞,3,평일,08시~09시,483,542,1025,17.5,97,109.00000000000001
안산시, 62,본오동종점-한라비발디1차,3,평일,07시~08시,1182,"1,018",2200,8.0,108,109.00000000000001
안양시, 81,목감호수품애.중흥S클래스-안양역,3,평일,18시~19시,402,368,770,13.0,39,109.00000000000001
시흥시, 63,오이도차고지-은계초등학교.사랑스러운교회,3,평일,17시~18시,451,407,858,15.0,78,108.0
시흥시, 32,경원여객안양차고지-풍림2단지.소래포구입구,3,평일,18시~19시,298,308,606,25.0,86,108.0
안산시, 61,화진금속공업-부천터미널소풍,3,평일,08시~09시,1025,"1,160",2185,10.0,120,107.0
시흥시, 530,능곡공영차고지-여의도환승센터(1번승강장),3,평일,18시~19시,423,386,809,20.0,99,107.0
광명시, 11-3,마린월드-KTX광명역1번출구,3,평일,17시~18시,144,132,276,37.5,63,107.0
광명시, 11-3,마린월드-KTX광명역1번출구,3,평일,08시~09시,143,170,313,37.5,63,106.0
안산시, 50,안산해솔초등학교-KTX광명역1번출구,3,평일,17시~18시,92,74,166,60.0,65,106.0
안산시, 125,홈플러스-본오교회앞,3,평일,16시~17시,469,451,920,17.5,97,106.0
안산시, 22,자원재생공사-삼천리마을앞,3,평일,18시~19시,472,510,982,17.5,97,106.0
안산시, 98,오이도차고지-수변공원휴게소,3,평일,07시~08시,322,270,592,27.5,104,106.0
시흥시, 12,삼미시장-김포공항국내선(9번홈),3,평일,19시~20시,377,422,799,15.0,67,106.0
안산시, 62,본오동종점-한라비발디1차,3,평일,19시~20시,1149,"1,225",2374,8.0,108,106.0
안산시, 76,본오교회앞-동보아파트후문.군자교회,3,평일,07시~08시,80,69,149,90.0,86,105.0
부천시, 23-2,계수동종점-라일락마을어린이공원,3,평일,16시~17시,680,690,1370,8.5,69,105.0
안산시, 35,경원여객안양차고지-중앙역앞,3,평일,07시~08시,43,29,72,180.0,92,105.0
시흥시, 530,능곡공영차고지-여의도환승센터(1번승강장),3,평일,07시~08시,410,286,696,20.0,99,104.0
안산시, 61,화진금속공업-부천터미널소풍,3,평일,18시~19시,1001,"1,051",2052,10.0,120,104.0
시흥시, 20-1,정왕역환승센터-부곡중학교,3,평일,16시~17시,430,391,821,15.0,78,103.0
안산시, 34,안산운전면허시험장-월곶동주민센터.월곶포구,3,평일,07시~08시,70,68,138,70.0,54,102.0
시흥시, 20-1,정왕역환승센터-부곡중학교,3,평일,19시~20시,423,480,903,15.0,78,102.0
광명시, 2(광명),스타필드시티부천-안양역,3,평일,17시~18시,909,800,1709,8.0,90,101.0
안산시, 98,오이도차고지-수변공원휴게소,3,평일,18시~19시,306,266,572,27.5,104,101.0
시흥시, 23,월곶역-본오동차고지,3,평일,15시~16시,643,579,1222,12.5,99,101.0
광명시, 11,광명돔경륜장.광남문-안양역,3,평일,18시~19시,162,149,311,32.5,65,101.0
안산시, 55,본오동종점-오이도차고지,3,평일,18시~19시,823,808,1631,9.0,93,100.0
광명시, 39,매화초등학교-개봉역,3,평일,17시~18시,233,153,386,20.5,45,100.0
시흥시, 23,월곶역-본오동차고지,3,평일,12시~13시,629,568,1197,12.5,99,99.0
안산시, 61,화진금속공업-부천터미널소풍,3,평일,17시~18시,955,959,1914,10.0,120,99.0
시흥시, 21,오이도차고지-태영아파트,3,평일,08시~09시,340,400,740,25.0,107,99.0
시흥시, 32,경원여객안양차고지-풍림2단지.소래포구입구,3,평일,07시~08시,272,201,473,25.0,86,99.0
부천시, 23-2,계수동종점-라일락마을어린이공원,3,평일,17시~18시,645,575,1220,8.5,69,99.0
시흥시, 32,경원여객안양차고지-풍림2단지.소래포구입구,3,평일,17시~18시,273,245,518,25.0,86,99.0
시흥시, 63,오이도차고지-은계초등학교.사랑스러운교회,3,평일,18시~19시,410,402,812,15.0,78,99.0
시흥시, 12,삼미시장-김포공항국내선(9번홈),3,평일,17시~18시,353,304,657,15.0,67,99.0
안산시, 22,자원재생공사-삼천리마을앞,3,평일,07시~08시,441,393,834,17.5,97,99.0
안산시, 34,안산운전면허시험장-월곶동주민센터.월곶포구,3,평일,08시~09시,68,65,133,70.0,54,99.0
시흥시, 63,오이도차고지-은계초등학교.사랑스러운교회,3,평일,08시~09시,409,468,877,15.0,78,98.0
부천시, 23-2,계수동종점-라일락마을어린이공원,3,평일,07시~08시,630,473,1103,8.5,69,97.0
안양시, 81,목감호수품애.중흥S클래스-안양역,3,평일,17시~18시,357,332,689,13.0,39,97.0
안산시, 50,안산해솔초등학교-KTX광명역1번출구,3,평일,07시~08시,83,68,151,60.0,65,96.0
시흥시, 23,월곶역-본오동차고지,3,평일,13시~14시,604,641,1245,12.5,99,95.0
안산시, 20,경원여객-시흥시청후문.종합일자리센터,3,평일,08시~09시,65,67,132,70.0,40,95.0
시흥시, 23,월곶역-본오동차고지,3,평일,09시~10시,602,642,1244,12.5,99,95.0
안산시, 125,홈플러스-본오교회앞,3,평일,15시~16시,418,376,794,17.5,97,94.0
광명시, 11,광명돔경륜장.광남문-안양역,3,평일,19시~20시,150,179,329,32.5,65,94.0
