지역,노선,시·종점,월,일시,시간,승차,하차,전체,주중 평균배차시간,노선운행시간,시간별 포화도
안산시, 125,홈플러스-본오교회앞,1,평일,18시~19시,842,829,1671,17.5,97,190.0
시흥시, 20-1,정왕역환승센터-부곡중학교,1,평일,07시~08시,742,687,1429,15.0,78,178.0
안산시, 125,홈플러스-본오교회앞,1,평일,07시~08시,735,640,1375,17.5,97,166.0
안산시, 125,홈플러스-본오교회앞,1,평일,17시~18시,738,635,1373,17.5,97,166.0
광명시, 39,매화초등학교-개봉역,1,평일,08시~09시,375,439,814,20.5,45,160.0
시흥시, 23,월곶역-본오동차고지,1,평일,18시~19시,993,962,1955,12.5,99,157.0
안산시, 125,홈플러스-본오교회앞,1,평일,08시~09시,697,788,1485,17.5,97,157.0
시흥시, 12,삼미시장-김포공항국내선(9번홈),1,평일,07시~08시,551,365,916,15.0,67,154.0
광명시, 39,매화초등학교-개봉역,1,평일,07시~08시,361,343,704,20.5,45,154.0
안산시, 125,홈플러스-본오교회앞,1,평일,19시~20시,649,646,1295,17.5,97,146.0
시흥시, 20-1,정왕역환승센터-부곡중학교,1,평일,17시~18시,593,428,1021,15.0,78,143.0
광명시, 39,매화초등학교-개봉역,1,평일,18시~19시,328,286,614,20.5,45,140.0
안산시, 125,홈플러스-본오교회앞,1,평일,20시~21시,618,621,1239,17.5,97,139.0
광명시, 11,광명돔경륜장.광남문-안양역,1,평일,07시~08시,216,167,383,32.5,65,135.0
시흥시, 20-1,정왕역환승센터-부곡중학교,1,평일,08시~09시,553,771,1324,15.0,78,133.0
시흥시, 20-1,정왕역환승센터-부곡중학교,1,평일,18시~19시,552,597,1149,15.0,78,133.0
시흥시, 23,월곶역-본오동차고지,1,평일,08시~09시,804,876,1680,12.5,99,127.0
시흥시, 12,삼미시장-김포공항국내선(9번홈),1,평일,08시~09시,451,597,1048,15.0,67,126.0
안산시, 22,자원재생공사-삼천리마을앞,1,평일,18시~19시,551,507,1058,17.5,97,124.0
안산시, 62,본오동종점-한라비발디1차,1,평일,18시~19시,1273,"1,231",2504,8.0,108,118.0
