순번,STATION_NM,GPS_X,GPS_Y,MAP_X,MAP_Y,STATION_ID,MOBILE_NO
24478,베다니마을,12646.475,3726.415,180055.21946,437899.79518,224000874,25864
15056,서경브레이징,12646.49,3726.406,180077.45705,437882.30893,224000875,25893
25738,목감호수품애.중흥S클래스,12650.549,3722.444,186050.7846,430541.69221,224000876,25894
18450,은계네이처포레,12648.342,3726.214,182808.02718,437521.57311,224000877,25870
18454,은계네이처포레,12648.343,3726.228,182809.08724,437548.33405,224000878,25895
18456,은계센트럴타운,12647.97,3726.295,182259.34037,437671.76681,224000879,25869
18457,은계7단지,12647.972,3726.083,182260.95117,437279.83703,224000880,25896
18460,은계센트럴타운,12647.972,3726.311,182263.02838,437702.50432,224000881,25868
18462,배곧해솔중,12642.902,3721.661,174757.83285,429120.94761,224000884,25878
18465,배곧해솔중,12642.945,3721.667,174822.29934,429130.20095,224000885,25879
18466,유한,12642.784,3719.369,174571.10923,424881.80332,224000894,25884
18469,유한,12642.772,3719.38,174553.92167,424901.40764,224000895,25885
18471,세아,12642.618,3719.214,174325.23508,424594.64319,224000896,25886
18473,동양스텐레스,12642.925,3719.538,174780.51012,425193.1063,224000897,25887
18475,태양에스티,12643.025,3719.612,174928.31369,425329.77481,224000898,25877
18477,도아테크,12642.382,3719.285,173977.04308,424727.07632,224000899,25888
18481,덕산파이프,12643.21,3719.804,175202.49515,425683.36421,224000900,25889
18485,군자6교,12643.129,3719.746,175082.94357,425577.29732,224000901,25890
16458,IN스틸,12642.105,3719.466,173568.73432,425064.33312,224000902,25883
16462,명칭예정지,12641.815,3719.647,173141.80225,425400.26875,224000903,25891
16466,유통상가,12643.527,3720.131,175672.90516,426288.08319,224000904,25892
16468,유통상가,12643.473,3720.102,175592.76561,426234.19818,224000905,25874
16469,봉우재입구,12644.498,3721.174,177111.56412,428212.64053,224000906,25913
16474,봉우재입구,12644.509,3721.234,177129.35969,428323.84284,224000907,25904
16475,마전,12645.921,3722.503,179218.96439,430665.97827,224000908,25910
16477,마전,12645.924,3722.513,179223.65833,430684.3401,224000909,25911
16616,경남아너스빌,12647.509,3726.11,181578.40044,437332.27421,224000910,25903
12250,경남아너스빌,12647.499,3726.11,181563.27113,437332.88969,224000911,25902
12254,새우개입구,12646.63,3724.223,180273.0552,433844.95431,224000912,25912
15952,새우개입구,12646.625,3724.21,180265.70983,433820.41239,224000913,25907
15956,포동차고지,12646.267,3724.153,179737.83962,433716.00488,224000914,25906
15962,포동차고지,12646.246,3724.146,179707.0378,433703.68359,224000915,25905
15968,연성정수장,12649.135,3722.923,183965.39136,431432.53194,224000916,25922
15969,연성정수장,12649.146,3722.916,183981.8247,431418.72838,224000917,25923
15973,검바위초등학교,12647.899,3726,182152.8706,437126.88286,224000918,25924
15974,검바위초등학교,12647.891,3726.002,182142.36265,437131.0388,224000919,25925
16099,목감중심상업지구남측,12651.136,3722.645,186918.04816,430912.70695,224000921,25591
16100,이지더원1차,12643.817,3722.894,176115.18629,431396.62923,224000922,25991
16101,정왕공설묘지,12645.674,3722.199,178853.22686,430103.7513,224000923,25992
13911,동보아파트후문.군자교회,12646.323,3721.535,179808.37017,428872.45753,224000924,25941
13912,동보아파트후문,12646.345,3721.483,179841.21099,428777.38907,224000925,25942
13913,서능홍익아파트,12648.708,3725.103,183343.18067,435464.90109,224000926,25927
13914,금강아파트,12648.534,3725.1,183086.26101,435461.33504,224000927,25928
13919,매화초등학교,12648.374,3724.879,182849.31768,435051.45024,224000928,25929
13920,매화초등학교,12648.382,3724.906,182861.24965,435102.79121,224000929,25930
14069,금강아파트,12648.537,3725.092,183090.99154,435444.97168,224000930,25931
14070,서능홍익아파트,12648.735,3725.084,183382.52647,435430.25261,224000931,25932
14071,옥길동입구,12648.805,3727.579,183496.08621,440044.67149,224000932,25509
14076,찬우물마을,12647.692,3725.566,181846.98906,436325.38631,224000933,25933
14078,찬우물마을,12647.682,3725.561,181832.07306,436315.26439,224000934,25934
14079,삼미시장,12647.02,3726.341,180857.61296,437760.55396,224000935,25935
14622,삼미시장,12647.027,3726.337,180868.06983,437753.92722,224000936,25936
15059,소래산.내원사,12646.867,3726.685,180633.96492,438398.13702,224000937,25937
16617,소래산.내원사,12646.847,3726.691,180604.13452,438408.92366,224000938,25938
16618,대흥중학교,12647.093,3726.804,180967.48379,438616.68509,224000939,25939
16623,대흥중학교,12647.107,3726.827,180989.32358,438659.76538,224000940,25940
16626,시흥ABC행복학습타운,12647.213,3726.874,181144.47771,438745.32005,224000941,25916
16627,시흥ABC행복학습타운,12647.204,3726.885,181131.71818,438767.3124,224000942,25917
16628,스틸랜드,12642.112,3720.695,173585.46142,427336.56457,224000943,25003
16629,스틸랜드,12642.165,3720.727,173664.32116,427395.14801,224000944,25004
15062,새미마을.목감리벤티움,12651.461,3722.409,187397.08978,430475.83635,224000945,25730
15068,새미마을.목감리벤티움,12651.455,3722.406,187388.00762,430470.17194,224000946,25729
15071,배곧한신더휴.호반더프라임,12643.768,3722.259,176039.76833,430223.44123,224000947,25944
15074,배곧중심상가,12643.792,3722.226,176075.11079,430160.7607,224000948,25943
15075,배곧sk뷰.호반베르디움1차,12643.427,3722.462,175538.15571,430598.89339,224000949,25946
15759,생명공원,12643.42,3722.447,175527.55409,430571.83426,224000950,25945
15763,대흥중입구.ABC행복학습타운,12647.144,3726.899,181043.26353,438792.84682,224000951,25957
15764,목감13단지.퍼스트리움,12651.529,3722.867,187499.01217,431321.98826,224000952,25668
15769,목감13단지.퍼스트리움,12651.524,3722.883,187491.70853,431352.16151,224000953,25743
15773,산현초,12650.821,3722.531,186452.58583,430702.87624,224000956,25002
15781,상대야삼거리,12647.241,3727.373,181189.22655,439669.65743,224000957,25007
15783,기업은행앞,12642.527,3721.043,174201.37587,427979.60566,224000958,25023
15786,네이쳐하임.퍼스트리움,12651.684,3722.807,187727.97666,431210.72742,224000959,25212
15789,장곡교차로,12646.444,3722.944,179993.11056,431479.87183,224000960,25260
15790,범말,12646.24,3722.956,179692.41113,431502.94344,224000961,25276
15791,사랑마을입구,12645.17,3721.936,178108.13949,429619.00178,224000962,25284
13733,국궁장앞,12642.554,3721.086,174240.6707,428058.82218,224000963,25303
12388,퍼스트리움.네이쳐하임,12651.677,3722.819,187718.13741,431233.08839,224000964,25386
12404,사랑마을입구,12645.17,3721.944,178108.65054,429634.34041,224000965,25470
13048,은계브리즈힐.네이처포레,12648.263,3726.33,182691.79679,437736.21674,224000966,25914
13053,배곧대방노블랜드,12644.284,3722.456,176802.03357,430585.52753,224000967,25962
13054,은계센트럴타운.브리즈힐,12648.127,3726.385,182490.92352,437838.71567,224000968,25947
13055,은계센트럴타운.브리즈힐,12648.166,3726.383,182548.71947,437834.82199,224000969,25948
13056,은계브리즈힐.네이처포레,12648.284,3726.333,182723.10935,437742.75767,224000970,25949
13063,연희아파트,12647.084,3726.273,180952.54685,437634.77928,224000971,25950
13064,연희아파트,12647.08,3726.269,180947.02874,437626.86538,224000972,25951
24199,신천동,12646.772,3726.534,180493.40654,438119.49185,224000973,25952
37595,영남아파트,12647.468,3727.011,181521.8954,438998.25554,224000974,25953
37604,영남아파트,12647.467,3727.025,181520.61998,439024.56544,224000975,25954
37605,신천역.시흥전화국,12647.163,3726.264,181068.96267,437618.3786,224000976,25955
37750,신천역.시흥전화국,12647.155,3726.254,181056.66921,437600.04193,224000977,25956
38851,시화터미널,12644.167,3720.561,176620.16893,427079.29773,224000978,25918
38855,시화터미널,12644.164,3720.563,176615.60692,427083.2079,224000979,25919
38862,부흥운수종점,12647.509,3726.383,181579.75411,437836.05802,224000980,25024
39009,청구2차아파트,12647.517,3726.519,181591.69298,438087.97394,224000981,25193
39010,중앙산부인과.신천연합병원,12647.465,3726.851,181516.18211,438702.26328,224000982,25096
39012,중앙산부인과.신천연합병원,12647.455,3726.849,181501.88884,438699.33745,224000983,25097
39539,대야오거리,12647.345,3726.898,181339.24899,438789.35121,224000984,25172
39549,대야오거리,12647.326,3726.903,181312.51253,438799.30732,224000985,25175
39554,오빌식품,12647.126,3727.529,181019.0531,439958.68912,224000986,25203
39556,오빌식품,12647.104,3727.536,180987.65021,439971.55857,224000987,25205
39686,예비군훈련장,12647.05,3727.806,180909.39294,440470.91146,224000988,25290
39687,예비군훈련장,12647.045,3727.821,180901.15574,440498.19562,224000989,25291
39709,세븐힐빌리지,12647.068,3727.965,180936.15776,440764.86158,224000990,25310
