노선,시간,주중 평균배차시간,노선운행시간,시간별 포화도,왕복운행대수,증차운행대수,증차대수,증차후배차시간,증차후예상포화도,감차대상시간,감차대상포화도,감차운행대수,감차후배차시간,감차후예상포화도
  39,06시~07시,20.5,45,106.0,5.85,6.89,1.04,17.42,89.99,11시~12시,42.0,4.81,24.95,50.94
  39,17시~18시,20.5,45,111.0,5.85,7.19,1.3400000000000007,16.69,90.06,10시~11시,40.0,4.509999999999999,26.61,52.11
  39,18시~19시,20.5,45,140.0,5.85,7.6,1.75,15.79,107.89,20시~21시,35.0,4.1,29.27,49.39
  39,07시~08시,20.5,45,154.0,5.85,7.6,1.75,15.79,118.75,12시~13시,31.0,4.1,29.27,44.51
  5602,08시~09시,11.5,92,101.0,16.0,17.94,1.9400000000000013,10.26,90.02,12시~13시,33.0,14.059999999999999,13.09,37.16
  5602,07시~08시,11.5,92,106.0,16.0,18.89,2.8900000000000006,9.74,89.99,11시~12시,31.0,13.11,14.04,37.76
  5602,18시~19시,11.5,92,104.0,16.0,18.53,2.530000000000001,9.93,89.99,10시~11시,33.0,13.469999999999999,13.66,38.98
  62,21시~22시,8.0,108,100.0,27.0,30.06,3.0599999999999987,7.19,89.99,11시~12시,48.0,23.94,9.02,53.68
  62,18시~19시,8.0,108,118.0,27.0,35.1,8.100000000000001,6.15,90.67,10시~11시,45.0,18.9,11.43,63.76
  66,18시~19시,12.0,74,114.0,12.33,15.56,3.2300000000000004,9.51,89.97,21시~22시,11.0,9.1,16.26,15.38
  66,17시~18시,12.0,74,103.0,12.33,14.06,1.7300000000000004,10.53,89.97,11시~12시,46.0,10.6,13.96,53.54
  66,08시~09시,12.0,74,113.0,12.33,15.47,3.1400000000000006,9.57,90.01,10시~11시,42.0,9.19,16.1,56.31
  76,21시~22시,90.0,86,103.0,1.91,2.19,0.28,78.54,90.18,12시~13시,17.0,1.63,105.52,19.94
  76,07시~08시,90.0,86,101.0,1.91,2.14,0.2300000000000002,80.37,89.95,11시~12시,22.0,1.6799999999999997,102.38,25.3
  98,18시~19시,27.5,104,102.0,7.56,8.58,1.0200000000000005,24.24,90.03,12시~13시,43.0,6.539999999999999,31.8,50.08
  98,08시~09시,27.5,104,106.0,7.56,8.92,1.3600000000000003,23.32,89.97,10시~11시,35.0,6.199999999999999,33.55,42.74
