노선,시·종점,시간,승차,주중 평균배차시간,노선운행시간,시간별 포화도,왕복운행대수,증차운행대수,증차대수,증차후배차시간,증차후예상포화도,포화도감소율
  125,홈플러스-본오교회앞,18시~19시,854,17.5,97,193.0,11.09,14.42,3.33,13.45,148.06,44.94
  125,홈플러스-본오교회앞,15시~16시,822,17.5,97,185.0,11.09,14.42,3.33,13.45,142.51,42.49000000000001
  125,홈플러스-본오교회앞,16시~17시,800,17.5,97,180.0,11.09,14.42,3.33,13.45,138.7,41.30000000000001
  125,홈플러스-본오교회앞,14시~15시,759,17.5,97,171.0,11.09,14.42,3.33,13.45,131.59,39.41
  125,홈플러스-본오교회앞,17시~18시,745,17.5,97,168.0,11.09,14.42,3.33,13.45,129.16,38.84
  125,홈플러스-본오교회앞,08시~09시,729,17.5,97,164.0,11.09,14.42,3.33,13.45,126.39,37.61
  20-1,정왕역환승센터-부곡중학교,07시~08시,681,15.0,78,164.0,10.4,13.52,3.119999999999999,11.54,125.92,38.08
  125,홈플러스-본오교회앞,21시~22시,720,17.5,97,162.0,11.09,14.42,3.33,13.45,124.83,37.17
  125,홈플러스-본오교회앞,13시~14시,677,17.5,97,153.0,11.09,14.42,3.33,13.45,117.37,35.629999999999995
  125,홈플러스-본오교회앞,12시~13시,668,17.5,97,151.0,11.09,14.42,3.33,13.45,115.81,35.19
  125,홈플러스-본오교회앞,19시~20시,658,17.5,97,148.0,11.09,14.42,3.33,13.45,114.08,33.92
  125,홈플러스-본오교회앞,07시~08시,643,17.5,97,145.0,11.09,14.42,3.33,13.45,111.48,33.519999999999996
  23,월곶역-본오동차고지,18시~19시,906,12.5,99,143.0,15.84,20.59,4.75,9.62,110.0,33.0
  12,삼미시장-김포공항국내선(9번홈),07시~08시,500,15.0,67,140.0,8.93,11.61,2.6799999999999997,11.54,107.67,32.33
  39,매화초등학교-개봉역,07시~08시,322,20.5,45,138.0,5.85,7.6,1.75,15.79,105.92,32.08
  23,월곶역-본오동차고지,15시~16시,849,12.5,99,134.0,15.84,20.59,4.75,9.62,103.08,30.92
  23,월곶역-본오동차고지,16시~17시,830,12.5,99,131.0,15.84,20.59,4.75,9.62,100.78,30.22
  125,홈플러스-본오교회앞,20시~21시,570,17.5,97,129.0,11.09,14.42,3.33,13.45,98.82,30.180000000000007
  23,월곶역-본오동차고지,17시~18시,807,12.5,99,127.0,15.84,20.59,4.75,9.62,97.98,29.019999999999996
  66,부인초교-용못내공원.옥길동종점,18시~19시,621,12.0,74,126.0,12.33,16.03,3.700000000000001,9.23,96.85,29.150000000000006
  12,삼미시장-김포공항국내선(9번홈),17시~18시,447,15.0,67,125.0,8.93,11.61,2.6799999999999997,11.54,96.25,28.75
  125,홈플러스-본오교회앞,11시~12시,547,17.5,97,123.0,11.09,14.42,3.33,13.45,94.83,28.17
  22,자원재생공사-삼천리마을앞,18시~19시,541,17.5,97,122.0,11.09,14.42,3.33,13.45,93.79,28.209999999999994
  20-1,정왕역환승센터-부곡중학교,17시~18시,505,15.0,78,121.0,10.4,13.52,3.119999999999999,11.54,93.38,27.620000000000005
  23,월곶역-본오동차고지,12시~13시,751,12.5,99,119.0,15.84,20.59,4.75,9.62,91.19,27.810000000000002
  23,월곶역-본오동차고지,14시~15시,756,12.5,99,119.0,15.84,20.59,4.75,9.62,91.79,27.209999999999994
  23,월곶역-본오동차고지,07시~08시,743,12.5,99,117.0,15.84,20.59,4.75,9.62,90.21,26.790000000000006
  125,홈플러스-본오교회앞,09시~10시,513,17.5,97,116.0,11.09,14.25,3.16,13.61,90.0,26.0
  125,홈플러스-본오교회앞,06시~07시,516,17.5,97,116.0,11.09,14.33,3.24,13.54,90.02,25.980000000000004
  62,본오동종점-한라비발디1차,17시~18시,1249,8.0,108,116.0,27.0,34.69,7.689999999999998,6.23,90.01,25.989999999999995
  12,삼미시장-김포공항국내선(9번홈),08시~09시,412,15.0,67,115.0,8.93,11.44,2.51,11.71,90.03,24.97
  125,홈플러스-본오교회앞,10시~11시,502,17.5,97,113.0,11.09,13.94,2.8499999999999996,13.92,90.03,22.97
  20-1,정왕역환승센터-부곡중학교,16시~17시,466,15.0,78,112.0,10.4,12.94,2.539999999999999,12.06,90.03,21.97
  22,자원재생공사-삼천리마을앞,17시~18시,494,17.5,97,111.0,11.09,13.72,2.630000000000001,14.14,90.01,20.989999999999995
  22,자원재생공사-삼천리마을앞,08시~09시,488,17.5,97,110.0,11.09,13.56,2.4700000000000006,14.31,89.97,20.03
  23,월곶역-본오동차고지,13시~14시,687,12.5,99,108.0,15.84,19.08,3.2399999999999984,10.38,90.02,17.980000000000004
  23,월곶역-본오동차고지,08시~09시,680,12.5,99,107.0,15.84,18.89,3.0500000000000007,10.48,89.99,17.010000000000005
  62,본오동종점-한라비발디1차,18시~19시,1159,8.0,108,107.0,27.0,32.19,5.189999999999998,6.71,90.01,16.989999999999995
  20-1,정왕역환승센터-부곡중학교,06시~07시,442,15.0,78,106.0,10.4,12.28,1.879999999999999,12.7,89.98,16.019999999999996
  1(광명),거모동-개봉역,07시~08시,1073,8.5,108,106.0,25.41,29.81,4.399999999999999,7.25,89.99,16.010000000000005
  39,매화초등학교-개봉역,08시~09시,244,20.5,45,104.0,5.85,6.78,0.9300000000000006,17.7,89.97,14.030000000000001
  20-1,정왕역환승센터-부곡중학교,08시~09시,429,15.0,78,103.0,10.4,11.92,1.5199999999999996,13.09,89.97,13.030000000000001
  1(광명),거모동-개봉역,18시~19시,1049,8.5,108,103.0,25.41,29.14,3.7300000000000004,7.41,90.0,13.0
  66,부인초교-용못내공원.옥길동종점,17시~18시,507,12.0,74,103.0,12.33,14.08,1.75,10.51,90.02,12.980000000000004
  5602,이마트-구로디지털단지역환승센터(1번승강장),07시~08시,650,11.5,92,102.0,16.0,18.06,2.0599999999999987,10.19,89.98,12.019999999999996
  23,월곶역-본오동차고지,19시~20시,646,12.5,99,102.0,15.84,17.94,2.1000000000000014,11.04,90.02,11.980000000000004
  2(광명),스타필드시티부천-안양역,08시~09시,907,8.0,90,101.0,22.5,25.19,2.6900000000000013,7.15,90.02,10.980000000000004
  22,자원재생공사-삼천리마을앞,07시~08시,448,17.5,97,101.0,11.09,12.44,1.3499999999999996,15.59,90.03,10.969999999999999
  62,본오동종점-한라비발디1차,16시~17시,1091,8.0,108,101.0,27.0,30.31,3.3099999999999987,7.13,89.99,11.010000000000005
  1(광명),거모동-개봉역,17시~18시,1015,8.5,108,100.0,25.41,28.19,2.780000000000001,7.66,90.01,9.989999999999995
  1(광명),거모동-개봉역,16시~17시,1013,8.5,108,100.0,25.41,28.14,2.7300000000000004,7.68,90.0,10.0
  22,자원재생공사-삼천리마을앞,15시~16시,442,17.5,97,100.0,11.09,12.28,1.1899999999999995,15.8,89.98,10.019999999999996
  12,삼미시장-김포공항국내선(9번홈),18시~19시,359,15.0,67,100.0,8.93,9.97,1.040000000000001,13.44,90.02,9.980000000000004
