노선,시·종점,시간,승차,주중 평균배차시간,노선운행시간,시간별 포화도,왕복운행대수,증차운행대수,증차대수,증차후배차시간,증차후예상포화도,포화도감소율
  23,월곶역-본오동차고지,18시~19시,1217,12.5,99,192.0,15.84,20.59,4.75,9.62,147.77,44.22999999999999
  20-1,정왕역환승센터-부곡중학교,07시~08시,740,15.0,78,178.0,10.4,13.52,3.119999999999999,11.54,136.83,41.16999999999999
  125,홈플러스-본오교회앞,17시~18시,762,17.5,97,172.0,11.09,14.42,3.33,13.45,132.11,39.889999999999986
  20-1,정왕역환승센터-부곡중학교,08시~09시,706,15.0,78,170.0,10.4,13.52,3.119999999999999,11.54,130.55,39.44999999999999
  23,월곶역-본오동차고지,08시~09시,1068,12.5,99,169.0,15.84,20.59,4.75,9.62,129.67,39.33000000000001
  125,홈플러스-본오교회앞,18시~19시,749,17.5,97,169.0,11.09,14.42,3.33,13.45,129.85,39.150000000000006
  125,홈플러스-본오교회앞,08시~09시,710,17.5,97,160.0,11.09,14.42,3.33,13.45,123.09,36.91
  20-1,정왕역환승센터-부곡중학교,18시~19시,659,15.0,78,158.0,10.4,13.52,3.119999999999999,11.54,121.86,36.14
  12,삼미시장-김포공항국내선(9번홈),07시~08시,564,15.0,67,158.0,8.93,11.61,2.6799999999999997,11.54,121.45,36.55
  23,월곶역-본오동차고지,17시~18시,997,12.5,99,157.0,15.84,20.59,4.75,9.62,121.05,35.95
  20-1,정왕역환승센터-부곡중학교,17시~18시,652,15.0,78,157.0,10.4,13.52,3.119999999999999,11.54,120.56,36.44
  23,월곶역-본오동차고지,07시~08시,960,12.5,99,152.0,15.84,20.59,4.75,9.62,116.56,35.44
  1(광명),거모동-개봉역,07시~08시,1537,8.5,108,151.0,25.41,33.03,7.620000000000001,6.54,116.33,34.67
  12,삼미시장-김포공항국내선(9번홈),08시~09시,538,15.0,67,151.0,8.93,11.61,2.6799999999999997,11.54,115.85,35.150000000000006
  62,본오동종점-한라비발디1차,18시~19시,1601,8.0,108,148.0,27.0,35.1,8.100000000000001,6.15,114.03,33.97
  2(광명),스타필드시티부천-안양역,08시~09시,1333,8.0,90,148.0,22.5,29.25,6.75,6.15,113.93,34.06999999999999
  62,본오동종점-한라비발디1차,17시~18시,1584,8.0,108,147.0,27.0,35.1,8.100000000000001,6.15,112.82,34.18000000000001
  66,부인초교-용못내공원.옥길동종점,18시~19시,725,12.0,74,147.0,12.33,16.03,3.700000000000001,9.23,113.07,33.93000000000001
  39,매화초등학교-개봉역,07시~08시,342,20.5,45,146.0,5.85,7.6,1.75,15.79,112.5,33.5
  125,홈플러스-본오교회앞,07시~08시,638,17.5,97,144.0,11.09,14.42,3.33,13.45,110.61,33.39
  62,본오동종점-한라비발디1차,08시~09시,1550,8.0,108,144.0,27.0,35.1,8.100000000000001,6.15,110.4,33.599999999999994
  39,매화초등학교-개봉역,08시~09시,333,20.5,45,142.0,5.85,7.6,1.75,15.79,109.54,32.459999999999994
  98,오이도차고지-수변공원휴게소,08시~09시,409,27.5,104,135.0,7.56,9.83,2.2700000000000005,21.16,104.02,30.980000000000004
  12,삼미시장-김포공항국내선(9번홈),18시~19시,482,15.0,67,135.0,8.93,11.61,2.6799999999999997,11.54,103.79,31.209999999999994
  66,부인초교-용못내공원.옥길동종점,08시~09시,663,12.0,74,134.0,12.33,16.03,3.700000000000001,9.23,103.4,30.599999999999994
  1(광명),거모동-개봉역,08시~09시,1359,8.5,108,134.0,25.41,33.03,7.620000000000001,6.54,102.86,31.14
  5602,이마트-구로디지털단지역환승센터(1번승강장),08시~09시,859,11.5,92,134.0,16.0,20.8,4.800000000000001,8.85,103.25,30.75
  50,안산해솔초등학교-KTX광명역1번출구,08시~09시,116,60.0,65,134.0,2.17,2.82,0.6499999999999999,46.1,102.84,31.159999999999997
  5602,이마트-구로디지털단지역환승센터(1번승강장),07시~08시,829,11.5,92,130.0,16.0,20.8,4.800000000000001,8.85,99.64,30.36
  23-2,계수동종점-라일락마을어린이공원,08시~09시,846,8.5,69,130.0,16.24,21.11,4.870000000000001,6.54,100.19,29.810000000000002
  11,광명돔경륜장.광남문-안양역,07시~08시,207,32.5,65,129.0,4.0,5.2,1.2000000000000002,25.0,99.52,29.480000000000004
  2(광명),스타필드시티부천-안양역,18시~19시,1144,8.0,90,127.0,22.5,29.25,6.75,6.15,97.78,29.22
  2(광명),스타필드시티부천-안양역,07시~08시,1146,8.0,90,127.0,22.5,29.25,6.75,6.15,97.95,29.049999999999997
  39,매화초등학교-개봉역,18시~19시,293,20.5,45,125.0,5.85,7.6,1.75,15.79,96.38,28.620000000000005
  32,경원여객안양차고지-풍림2단지.소래포구입구,08시~09시,338,25.0,86,123.0,6.88,8.94,2.0599999999999996,19.24,94.52,28.480000000000004
  5602,이마트-구로디지털단지역환승센터(1번승강장),17시~18시,789,11.5,92,123.0,16.0,20.8,4.800000000000001,8.85,94.83,28.17
  81,목감호수품애.중흥S클래스-안양역,07시~08시,449,13.0,39,122.0,9.23,12.0,2.7699999999999996,10.0,93.54,28.459999999999994
  11,광명돔경륜장.광남문-안양역,08시~09시,195,32.5,65,122.0,4.0,5.2,1.2000000000000002,25.0,93.75,28.25
  1(광명),거모동-개봉역,17시~18시,1239,8.5,108,122.0,25.41,33.03,7.620000000000001,6.54,93.78,28.22
  23,월곶역-본오동차고지,16시~17시,766,12.5,99,121.0,15.84,20.59,4.75,9.62,93.01,27.989999999999995
  81,목감호수품애.중흥S클래스-안양역,08시~09시,444,13.0,39,120.0,9.23,12.0,2.7699999999999996,10.0,92.5,27.5
  1(광명),거모동-개봉역,18시~19시,1206,8.5,108,119.0,25.41,33.03,7.620000000000001,6.54,91.28,27.72
  62,본오동종점-한라비발디1차,16시~17시,1287,8.0,108,119.0,27.0,35.1,8.100000000000001,6.15,91.67,27.33
  125,홈플러스-본오교회앞,19시~20시,518,17.5,97,117.0,11.09,14.39,3.3000000000000007,13.48,89.99,27.010000000000005
  21,오이도차고지-태영아파트,07시~08시,395,25.0,107,115.0,8.56,10.97,2.41,19.51,90.02,24.980000000000004
  23-2,계수동종점-라일락마을어린이공원,18시~19시,747,8.5,69,115.0,16.24,20.75,4.510000000000002,6.65,90.0,25.0
  66,부인초교-용못내공원.옥길동종점,16시~17시,568,12.0,74,115.0,12.33,15.78,3.4499999999999993,9.38,89.99,25.010000000000005
  20-1,정왕역환승센터-부곡중학교,06시~07시,476,15.0,78,114.0,10.4,13.22,2.8200000000000003,11.8,90.02,23.980000000000004
  66,부인초교-용못내공원.옥길동종점,17시~18시,561,12.0,74,114.0,12.33,15.58,3.25,9.5,90.02,23.980000000000004
  5602,이마트-구로디지털단지역환승센터(1번승강장),18시~19시,728,11.5,92,114.0,16.0,20.22,4.219999999999999,9.1,90.01,23.989999999999995
  23,월곶역-본오동차고지,19시~20시,708,12.5,99,112.0,15.84,19.67,3.830000000000002,10.07,89.98,22.019999999999996
  61,화진금속공업-부천터미널소풍,07시~08시,1077,10.0,120,112.0,24.0,29.92,5.920000000000002,8.02,89.99,22.010000000000005
  50,안산해솔초등학교-KTX광명역1번출구,18시~19시,96,60.0,65,111.0,2.17,2.67,0.5,48.69,89.89,21.11
  22,자원재생공사-삼천리마을앞,17시~18시,487,17.5,97,110.0,11.09,13.53,2.4399999999999995,14.34,89.99,20.010000000000005
  20,경원여객-시흥시청후문.종합일자리센터,18시~19시,75,70.0,40,109.0,1.71,2.08,0.3700000000000001,57.69,90.14,18.86
  22,자원재생공사-삼천리마을앞,08시~09시,483,17.5,97,109.0,11.09,13.42,2.33,14.46,89.98,19.019999999999996
  62,본오동종점-한라비발디1차,07시~08시,1182,8.0,108,109.0,27.0,32.83,5.829999999999998,6.58,90.01,18.989999999999995
  81,목감호수품애.중흥S클래스-안양역,18시~19시,402,13.0,39,109.0,9.23,11.17,1.9399999999999995,10.74,89.97,19.03
  63,오이도차고지-은계초등학교.사랑스러운교회,17시~18시,451,15.0,78,108.0,10.4,12.53,2.129999999999999,12.45,89.98,18.019999999999996
  32,경원여객안양차고지-풍림2단지.소래포구입구,18시~19시,298,25.0,86,108.0,6.88,8.28,1.3999999999999995,20.77,89.98,18.019999999999996
  61,화진금속공업-부천터미널소풍,08시~09시,1025,10.0,120,107.0,24.0,28.47,4.469999999999999,8.43,90.01,16.989999999999995
  530,능곡공영차고지-여의도환승센터(1번승강장),18시~19시,423,20.0,99,107.0,9.9,11.75,1.8499999999999996,16.85,90.0,17.0
  11-3,마린월드-KTX광명역1번출구,17시~18시,144,37.5,63,107.0,3.36,4.0,0.6400000000000001,31.5,90.0,17.0
  11-3,마린월드-KTX광명역1번출구,08시~09시,143,37.5,63,106.0,3.36,3.97,0.6100000000000003,31.74,90.05,15.950000000000003
  50,안산해솔초등학교-KTX광명역1번출구,17시~18시,92,60.0,65,106.0,2.17,2.56,0.3900000000000001,50.78,89.84,16.159999999999997
  125,홈플러스-본오교회앞,16시~17시,469,17.5,97,106.0,11.09,13.03,1.9399999999999995,14.89,89.98,16.019999999999996
  22,자원재생공사-삼천리마을앞,18시~19시,472,17.5,97,106.0,11.09,13.11,2.0199999999999996,14.8,90.01,15.989999999999995
  98,오이도차고지-수변공원휴게소,07시~08시,322,27.5,104,106.0,7.56,8.94,1.38,23.27,90.04,15.959999999999994
  12,삼미시장-김포공항국내선(9번홈),19시~20시,377,15.0,67,106.0,8.93,10.47,1.540000000000001,12.8,90.02,15.980000000000004
  62,본오동종점-한라비발디1차,19시~20시,1149,8.0,108,106.0,27.0,31.92,4.920000000000002,6.77,89.99,16.010000000000005
  76,본오교회앞-동보아파트후문.군자교회,07시~08시,80,90.0,86,105.0,1.91,2.22,0.3100000000000003,77.48,90.09,14.909999999999997
  23-2,계수동종점-라일락마을어린이공원,16시~17시,680,8.5,69,105.0,16.24,18.89,2.650000000000002,7.31,89.99,15.010000000000005
  35,경원여객안양차고지-중앙역앞,07시~08시,43,180.0,92,105.0,1.02,1.19,0.16999999999999993,154.62,90.34,14.659999999999997
  530,능곡공영차고지-여의도환승센터(1번승강장),07시~08시,410,20.0,99,104.0,9.9,11.39,1.4900000000000002,17.38,89.99,14.010000000000005
  61,화진금속공업-부천터미널소풍,18시~19시,1001,10.0,120,104.0,24.0,27.81,3.8099999999999987,8.63,89.99,14.010000000000005
  20-1,정왕역환승센터-부곡중학교,16시~17시,430,15.0,78,103.0,10.4,11.94,1.5399999999999991,13.07,90.03,12.969999999999999
  34,안산운전면허시험장-월곶동주민센터.월곶포구,07시~08시,70,70.0,54,102.0,1.71,1.94,0.22999999999999998,61.86,90.21,11.790000000000006
  20-1,정왕역환승센터-부곡중학교,19시~20시,423,15.0,78,102.0,10.4,11.75,1.3499999999999996,13.28,90.0,12.0
  2(광명),스타필드시티부천-안양역,17시~18시,909,8.0,90,101.0,22.5,25.25,2.75,7.13,90.0,11.0
  98,오이도차고지-수변공원휴게소,18시~19시,306,27.5,104,101.0,7.56,8.5,0.9400000000000004,24.47,90.0,11.0
  23,월곶역-본오동차고지,15시~16시,643,12.5,99,101.0,15.84,17.86,2.0199999999999996,11.09,90.01,10.989999999999995
  11,광명돔경륜장.광남문-안양역,18시~19시,162,32.5,65,101.0,4.0,4.5,0.5,28.89,90.0,11.0
