노선,시간,주중 평균배차시간,노선운행시간,시간별 포화도,왕복운행대수,증차운행대수,증차대수,증차후배차시간,증차후예상포화도,감차대상시간,감차대상포화도,감차운행대수,감차후배차시간,감차후예상포화도
  20,18시~19시,70.0,40,109.0,1.71,2.08,0.3700000000000001,57.69,90.14,21시~22시,10.0,1.3399999999999999,89.55,13.06
  20-1,16시~17시,15.0,78,103.0,10.4,11.94,1.5399999999999991,13.07,90.03,14시~15시,57.99999999999999,8.860000000000001,17.61,68.28
  20-1,19시~20시,15.0,78,102.0,10.4,11.75,1.3499999999999996,13.28,90.0,09시~10시,61.0,9.05,17.24,70.44
  20-1,17시~18시,15.0,78,157.0,10.4,13.52,3.119999999999999,11.54,120.56,21시~22시,43.0,7.280000000000001,21.43,60.78
  20-1,18시~19시,15.0,78,158.0,10.4,13.52,3.119999999999999,11.54,121.86,13시~14시,42.0,7.280000000000001,21.43,59.41
  20-1,08시~09시,15.0,78,170.0,10.4,13.52,3.119999999999999,11.54,130.55,10시~11시,37.0,7.280000000000001,21.43,52.2
  20-1,06시~07시,15.0,78,114.0,10.4,13.22,2.8200000000000003,11.8,90.02,12시~13시,48.0,7.58,20.58,66.29
  20-1,07시~08시,15.0,78,178.0,10.4,13.52,3.119999999999999,11.54,136.83,11시~12시,34.0,7.280000000000001,21.43,48.42
  21,07시~08시,25.0,107,115.0,8.56,10.97,2.41,19.51,90.02,13시~14시,29.0,6.15,34.8,39.84
  22,18시~19시,17.5,97,106.0,11.09,13.11,2.0199999999999996,14.8,90.01,11시~12시,45.0,9.07,21.39,54.85
  22,08시~09시,17.5,97,109.0,11.09,13.42,2.33,14.46,89.98,12시~13시,45.0,8.76,22.15,56.51
  22,17시~18시,17.5,97,110.0,11.09,13.53,2.4399999999999995,14.34,89.99,10시~11시,37.0,8.65,22.43,46.82
  23,15시~16시,12.5,99,101.0,15.84,17.86,2.0199999999999996,11.09,90.01,09시~10시,95.0,13.82,14.33,108.9
  23,16시~17시,12.5,99,121.0,15.84,20.59,4.75,9.62,93.01,14시~15시,90.0,11.09,17.85,128.04
  23,19시~20시,12.5,99,112.0,15.84,19.67,3.830000000000002,10.07,89.98,13시~14시,95.0,12.009999999999998,16.49,125.73
  23,18시~19시,12.5,99,192.0,15.84,20.59,4.75,9.62,147.77,21시~22시,51.0,11.09,17.85,72.59
  23,08시~09시,12.5,99,169.0,15.84,20.59,4.75,9.62,129.67,20시~21시,73.0,11.09,17.85,104.6
  23,17시~18시,12.5,99,157.0,15.84,20.59,4.75,9.62,121.05,10시~11시,77.0,11.09,17.85,109.33
  23,07시~08시,12.5,99,152.0,15.84,20.59,4.75,9.62,116.56,11시~12시,83.0,11.09,17.85,118.58
  23-2,08시~09시,8.5,69,130.0,16.24,21.11,4.870000000000001,6.54,100.19,11시~12시,53.0,11.369999999999997,12.14,75.64
  23-2,16시~17시,8.5,69,105.0,16.24,18.89,2.650000000000002,7.31,89.99,12시~13시,62.0,13.589999999999996,10.15,74.14
  23-2,18시~19시,8.5,69,115.0,16.24,20.75,4.510000000000002,6.65,90.0,10시~11시,54.0,11.729999999999997,11.76,74.81
  32,18시~19시,25.0,86,108.0,6.88,8.28,1.3999999999999995,20.77,89.98,11시~12시,42.0,5.48,31.39,52.46
  32,08시~09시,25.0,86,123.0,6.88,8.94,2.0599999999999996,19.24,94.52,10시~11시,36.0,4.82,35.68,50.83
  34,07시~08시,70.0,54,102.0,1.71,1.94,0.22999999999999998,61.86,90.21,10시~11시,19.0,1.48,81.08,21.96
  35,07시~08시,180.0,92,105.0,1.02,1.19,0.16999999999999993,154.62,90.34,10시~11시,7.000000000000001,0.8500000000000001,216.47,8.82
  39,08시~09시,20.5,45,142.0,5.85,7.6,1.75,15.79,109.54,21시~22시,32.0,4.1,29.27,45.73
  39,07시~08시,20.5,45,146.0,5.85,7.6,1.75,15.79,112.5,11시~12시,29.0,4.1,29.27,41.46
  39,18시~19시,20.5,45,125.0,5.85,7.6,1.75,15.79,96.38,14시~15시,35.0,4.1,29.27,49.39
  39,17시~18시,20.5,45,100.0,5.85,6.47,0.6200000000000001,18.55,90.03,12시~13시,36.0,5.2299999999999995,22.94,40.15
  50,18시~19시,60.0,65,111.0,2.17,2.67,0.5,48.69,89.89,12시~13시,30.0,1.67,77.84,38.92
  50,08시~09시,60.0,65,134.0,2.17,2.82,0.6499999999999999,46.1,102.84,10시~11시,25.0,1.52,85.53,36.18
  50,17시~18시,60.0,65,106.0,2.17,2.56,0.3900000000000001,50.78,89.84,11시~12시,35.0,1.7799999999999998,73.03,42.13
  530,07시~08시,20.0,99,104.0,9.9,11.39,1.4900000000000002,17.38,89.99,11시~12시,29.0,8.41,23.54,34.19
  530,18시~19시,20.0,99,107.0,9.9,11.75,1.8499999999999996,16.85,90.0,13시~14시,24.0,8.05,24.6,29.81
  55,18시~19시,9.0,93,100.0,20.67,22.86,2.1899999999999977,8.14,90.0,21시~22시,32.0,18.480000000000004,10.06,35.98
  5602,17시~18시,11.5,92,123.0,16.0,20.8,4.800000000000001,8.85,94.83,10시~11시,45.0,11.2,16.43,63.62
  5602,08시~09시,11.5,92,134.0,16.0,20.8,4.800000000000001,8.85,103.25,13시~14시,44.0,11.2,16.43,62.28
  5602,18시~19시,11.5,92,114.0,16.0,20.22,4.219999999999999,9.1,90.01,11시~12시,46.0,11.780000000000001,15.62,62.82
  5602,07시~08시,11.5,92,130.0,16.0,20.8,4.800000000000001,8.85,99.64,21시~22시,45.0,11.2,16.43,63.84
  61,08시~09시,10.0,120,107.0,24.0,28.47,4.469999999999999,8.43,90.01,20시~21시,47.0,19.53,12.29,57.99
  61,07시~08시,10.0,120,112.0,24.0,29.92,5.920000000000002,8.02,89.99,21시~22시,25.0,18.08,13.27,33.6
  61,18시~19시,10.0,120,104.0,24.0,27.81,3.8099999999999987,8.63,89.99,10시~11시,54.0,20.19,11.89,64.02
  62,07시~08시,8.0,108,109.0,27.0,32.83,5.829999999999998,6.58,90.01,12시~13시,70.0,21.17,10.2,89.51
  62,16시~17시,8.0,108,119.0,27.0,35.1,8.100000000000001,6.15,91.67,13시~14시,65.0,18.9,11.43,92.33
  62,18시~19시,8.0,108,148.0,27.0,35.1,8.100000000000001,6.15,114.03,21시~22시,57.99999999999999,18.9,11.43,82.94
  62,08시~09시,8.0,108,144.0,27.0,35.1,8.100000000000001,6.15,110.4,11시~12시,65.0,18.9,11.43,92.99
  62,17시~18시,8.0,108,147.0,27.0,35.1,8.100000000000001,6.15,112.82,10시~11시,64.0,18.9,11.43,91.01
  62,19시~20시,8.0,108,106.0,27.0,31.92,4.920000000000002,6.77,89.99,14시~15시,70.0,22.08,9.78,85.94
  63,17시~18시,15.0,78,108.0,10.4,12.53,2.129999999999999,12.45,89.98,10시~11시,35.0,8.270000000000001,18.86,43.53
  66,17시~18시,12.0,74,114.0,12.33,15.58,3.25,9.5,90.02,14시~15시,66.0,9.08,16.3,90.31
  66,18시~19시,12.0,74,147.0,12.33,16.03,3.700000000000001,9.23,113.07,10시~11시,56.00000000000001,8.629999999999999,17.15,79.95
  66,16시~17시,12.0,74,115.0,12.33,15.78,3.4499999999999993,9.38,89.99,20시~21시,65.0,8.88,16.67,90.65
  66,08시~09시,12.0,74,134.0,12.33,16.03,3.700000000000001,9.23,103.4,11시~12시,59.0,8.629999999999999,17.15,84.59
  76,07시~08시,90.0,86,105.0,1.91,2.22,0.3100000000000003,77.48,90.09,12시~13시,18.0,1.5999999999999996,107.5,21.88
  81,07시~08시,13.0,39,122.0,9.23,12.0,2.7699999999999996,10.0,93.54,20시~21시,51.0,6.460000000000001,18.58,72.76
  81,08시~09시,13.0,39,120.0,9.23,12.0,2.7699999999999996,10.0,92.5,14시~15시,53.0,6.460000000000001,18.58,75.46
  81,18시~19시,13.0,39,109.0,9.23,11.17,1.9399999999999995,10.74,89.97,13시~14시,54.0,7.290000000000001,16.46,67.9
  98,07시~08시,27.5,104,106.0,7.56,8.94,1.38,23.27,90.04,20시~21시,40.0,6.18,33.66,49.35
  98,08시~09시,27.5,104,135.0,7.56,9.83,2.2700000000000005,21.16,104.02,21시~22시,37.0,5.289999999999999,39.32,52.46
  98,18시~19시,27.5,104,101.0,7.56,8.5,0.9400000000000004,24.47,90.0,11시~12시,43.0,6.619999999999999,31.42,49.47
