노선,시간,주중 평균배차시간,노선운행시간,시간별 포화도,왕복운행대수,증차운행대수,증차대수,증차후배차시간,증차후예상포화도,감차대상시간,감차대상포화도,감차운행대수,감차후배차시간,감차후예상포화도
  1(광명),18시~19시,8.5,108,119.0,25.41,33.03,7.620000000000001,6.54,91.28,13시~14시,61.0,17.79,12.14,86.57
  1(광명),08시~09시,8.5,108,134.0,25.41,33.03,7.620000000000001,6.54,102.86,10시~11시,57.99999999999999,17.79,12.14,82.63
  1(광명),17시~18시,8.5,108,122.0,25.41,33.03,7.620000000000001,6.54,93.78,11시~12시,59.0,17.79,12.14,84.74
  1(광명),07시~08시,8.5,108,151.0,25.41,33.03,7.620000000000001,6.54,116.33,21시~22시,55.00000000000001,17.79,12.14,79.26
  11,07시~08시,32.5,65,129.0,4.0,5.2,1.2000000000000002,25.0,99.52,12시~13시,26.0,2.8,46.43,37.5
  11,08시~09시,32.5,65,122.0,4.0,5.2,1.2000000000000002,25.0,93.75,11시~12시,28.000000000000004,2.8,46.43,40.18
  11,18시~19시,32.5,65,101.0,4.0,4.5,0.5,28.89,90.0,20시~21시,29.0,3.5,37.14,32.86
  11-3,08시~09시,37.5,63,106.0,3.36,3.97,0.6100000000000003,31.74,90.05,09시~10시,32.0,2.7499999999999996,45.82,39.09
  11-3,17시~18시,37.5,63,107.0,3.36,4.0,0.6400000000000001,31.5,90.0,10시~11시,29.0,2.7199999999999998,46.32,35.85
  12,07시~08시,15.0,67,158.0,8.93,11.61,2.6799999999999997,11.54,121.45,12시~13시,42.0,6.25,21.44,60.0
  12,18시~19시,15.0,67,135.0,8.93,11.61,2.6799999999999997,11.54,103.79,13시~14시,44.0,6.25,21.44,62.8
  12,08시~09시,15.0,67,151.0,8.93,11.61,2.6799999999999997,11.54,115.85,11시~12시,43.0,6.25,21.44,60.8
  12,19시~20시,15.0,67,106.0,8.93,10.47,1.540000000000001,12.8,90.02,10시~11시,52.0,7.389999999999999,18.13,62.58
  125,19시~20시,17.5,97,117.0,11.09,14.39,3.3000000000000007,13.48,89.99,13시~14시,86.0,7.789999999999999,24.9,121.95
  125,17시~18시,17.5,97,172.0,11.09,14.42,3.33,13.45,132.11,11시~12시,67.0,7.76,25.0,96.33
  125,18시~19시,17.5,97,169.0,11.09,14.42,3.33,13.45,129.85,14시~15시,74.0,7.76,25.0,105.03
  125,16시~17시,17.5,97,106.0,11.09,13.03,1.9399999999999995,14.89,89.98,09시~10시,92.0,9.15,21.2,112.02
  125,07시~08시,17.5,97,144.0,11.09,14.42,3.33,13.45,110.61,10시~11시,81.0,7.76,25.0,115.66
  125,08시~09시,17.5,97,160.0,11.09,14.42,3.33,13.45,123.09,12시~13시,77.0,7.76,25.0,109.54
  2(광명),08시~09시,8.0,90,148.0,22.5,29.25,6.75,6.15,113.93,11시~12시,49.0,15.75,11.43,70.63
  2(광명),17시~18시,8.0,90,101.0,22.5,25.25,2.75,7.13,90.0,20시~21시,60.0,19.75,9.11,68.86
  2(광명),07시~08시,8.0,90,127.0,22.5,29.25,6.75,6.15,97.95,12시~13시,57.99999999999999,15.75,11.43,83.17
  2(광명),18시~19시,8.0,90,127.0,22.5,29.25,6.75,6.15,97.78,10시~11시,52.0,15.75,11.43,74.13
